lotrol,ibum_id,container_key,duplicate_occurrences,duplicate_occurrence_number,should_count_in_inventory,duplicate_qty_excluded,excluded_duplicate_qty,duplicated_total_qty,files,movement_date,movement_month,reference,description,color_code,color_original,color_normalized,product_key,lot,roll,qty_in,source_file,source_sheet,source_row
772009790001,47026,47026,2,1,True,0.0,24.2,48.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0001,24.2,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,696
772009790001,48150,48150,2,2,False,24.2,24.2,48.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0001,24.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,754
772009790002,47026,47026,2,1,True,0.0,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0002,23.7,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,697
772009790002,48150,48150,2,2,False,23.7,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0002,23.7,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,755
772009790003,47026,47026,2,1,True,0.0,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0003,23.7,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,698
772009790003,48150,48150,2,2,False,23.7,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0003,23.7,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,756
772009790004,47026,47026,2,1,True,0.0,25.5,51.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0004,25.5,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,699
772009790004,48150,48150,2,2,False,25.5,25.5,51.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0004,25.5,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,757
772009790005,47026,47026,2,1,True,0.0,20.3,40.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0005,20.3,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,700
772009790005,48150,48150,2,2,False,20.3,20.3,40.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0005,20.3,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,758
772009790006,47026,47026,2,1,True,0.0,24.5,49.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0006,24.5,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,701
772009790006,48150,48150,2,2,False,24.5,24.5,49.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0006,24.5,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,759
772009790007,47026,47026,2,1,True,0.0,24.6,49.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0007,24.6,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,702
772009790007,48150,48150,2,2,False,24.6,24.6,49.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0007,24.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,760
772009790008,47026,47026,2,1,True,0.0,23.4,46.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0008,23.4,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,703
772009790008,48150,48150,2,2,False,23.4,23.4,46.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0008,23.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,761
772009790011,47026,47026,2,1,True,0.0,26.3,52.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0011,26.3,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,706
772009790011,48150,48150,2,2,False,26.3,26.3,52.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0011,26.3,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,762
772009790012,47026,47026,2,1,True,0.0,22.9,45.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0012,22.9,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,707
772009790012,48150,48150,2,2,False,22.9,22.9,45.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0012,22.9,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,763
772009790014,47026,47026,2,1,True,0.0,23.6,47.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0014,23.6,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,709
772009790014,48150,48150,2,2,False,23.6,23.6,47.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0014,23.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,764
772009790015,47026,47026,2,1,True,0.0,23.1,46.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0015,23.1,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,710
772009790015,48150,48150,2,2,False,23.1,23.1,46.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0015,23.1,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,765
772009790016,47026,47026,2,1,True,0.0,24.1,48.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0016,24.1,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,711
772009790016,48150,48150,2,2,False,24.1,24.1,48.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0016,24.1,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,766
772009790018,47026,47026,2,1,True,0.0,23.5,47.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0018,23.5,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,713
772009790018,48150,48150,2,2,False,23.5,23.5,47.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0018,23.5,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,767
772009790019,47026,47026,2,1,True,0.0,24.0,48.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0019,24.0,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,714
772009790019,48150,48150,2,2,False,24.0,24.0,48.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0019,24.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,768
772009790020,47026,47026,2,1,True,0.0,23.9,47.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0020,23.9,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,715
772009790020,48150,48150,2,2,False,23.9,23.9,47.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0020,23.9,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,769
772009790021,47026,47026,2,1,True,0.0,23.6,47.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0021,23.6,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,716
772009790021,48150,48150,2,2,False,23.6,23.6,47.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0021,23.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,770
772009790022,47026,47026,2,1,True,0.0,22.1,44.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0022,22.1,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,717
772009790022,48150,48150,2,2,False,22.1,22.1,44.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0022,22.1,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,771
772009790023,47026,47026,2,1,True,0.0,23.9,47.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0023,23.9,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,718
772009790023,48150,48150,2,2,False,23.9,23.9,47.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0023,23.9,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,772
772009790024,47026,47026,2,1,True,0.0,23.9,47.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0024,23.9,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,719
772009790024,48150,48150,2,2,False,23.9,23.9,47.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0024,23.9,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,773
772009790025,47026,47026,2,1,True,0.0,24.2,48.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0025,24.2,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,720
772009790025,48150,48150,2,2,False,24.2,24.2,48.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0025,24.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,774
772009790026,47026,47026,2,1,True,0.0,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0026,23.7,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,721
772009790026,48150,48150,2,2,False,23.7,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0026,23.7,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,775
772009790027,47026,47026,2,1,True,0.0,30.7,61.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0027,30.7,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,722
772009790027,48150,48150,2,2,False,30.7,30.7,61.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0027,30.7,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,776
772009790028,47026,47026,2,1,True,0.0,24.2,48.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0028,24.2,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,723
772009790028,48150,48150,2,2,False,24.2,24.2,48.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0028,24.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,777
772009790029,47026,47026,2,1,True,0.0,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0029,23.7,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,724
772009790029,48150,48150,2,2,False,23.7,23.7,47.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0029,23.7,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,778
772009790030,47026,47026,2,1,True,0.0,23.5,47.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0030,23.5,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,725
772009790030,48150,48150,2,2,False,23.5,23.5,47.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0030,23.5,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,779
772009790032,47026,47026,2,1,True,0.0,13.8,27.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0032,13.8,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,727
772009790032,48150,48150,2,2,False,13.8,13.8,27.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0032,13.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,780
772009790034,47026,47026,2,1,True,0.0,24.5,49.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0034,24.5,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,729
772009790034,48150,48150,2,2,False,24.5,24.5,49.0,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0034,24.5,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,781
772009790035,47026,47026,2,1,True,0.0,24.6,49.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0035,24.6,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,730
772009790035,48150,48150,2,2,False,24.6,24.6,49.2,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070101,TELA QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070101|PALO DE ROSA,00979,0035,24.6,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,782
772009910004,47026,47026,2,1,True,0.0,56.4,112.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-01-27,2026-01,070102,RIB QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070102|PALO DE ROSA,00991,0004,56.4,REP CONTENEDR QATAR PREMIUM 27.XLSX,Hoja1,953
772009910004,48150,48150,2,2,False,56.4,56.4,112.8,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx | REP CONTENEDR QATAR PREMIUM 27.XLSX,2026-06-09,2026-06,070102,RIB QATAR PREMIUM,25,PALO DE ROSA,PALO DE ROSA,070102|PALO DE ROSA,00991,0004,56.4,CONTENEDOR QATAR PREMIUM PX 09 JUNIO.xlsx,Hoja1,1003
